file,publish,consent,people,by,slug,caption,alt,place,when,group,span,cover,hero,crop,tags,notes
gallery/1739639995446.jpg,no,,yes,,pine-path-sun,"Sun through the pines, on the path","A person standing on a dirt path through tall pines, sun flaring between the trunks",,,jungle,,,no,,"pine,forest,path",Place not confirmed. Do not publish until Chandan names where this was taken. Photographer not stamped on the file - needs a name.
gallery/1739639995670.jpg,no,,yes,,pine-stand,Under the pines,"A man in a hooded jacket standing among tall pine trunks, dry needles on the ground",,,jungle,,,no,0.75%,"pine,forest",Place not confirmed. Do not publish until Chandan names where this was taken. Photographer not stamped on the file - needs a name.
gallery/1739639995696.jpg,no,,yes,,pine-walk,Walking into the light,"A man walking away up a dirt track through pines towards the sun, other people further along the path",,,jungle,,,no,,"pine,forest,path",Place not confirmed. Do not publish until Chandan names where this was taken. Photographer not stamped on the file - needs a name.
gallery/IMG-20250514-WA0150.jpg,no,,yes,,stream-rocks,On the rocks where the stream runs low,"A man standing on boulders beside a shallow stream running between rocks, forested hills behind",,May 2025,jungle,,,no,,"jharana,stream,rocks",Place not confirmed. Do not publish until Chandan names where this was taken. Photographer not stamped on the file - needs a name.
gallery/IMG-20251013-WA0004.jpg,yes,,no,,house-door,"A door in a mud wall, and the dates chalked beside it","Blue metal door set in a mud-plastered wall, chalk writing and dates on the laterite beside it, a low bench of packed earth to the left",,Oct 2025,village,,,no,,"mud house,door,laterite",Chalk on the wall reads as dates. Ask whose house this is.
gallery/IMG-20251013-WA0008.jpg,yes,,no,,yard-monsoon,What the monsoon does to a yard in a fortnight,"A yard grown over with green after rain, tin and tiled roofs behind it, a moss-covered concrete wall on the right and a barbed wire fence in front",,Oct 2025,village,,,no,,"monsoon,yard,roofs",
gallery/IMG-20251219-WA0011.jpg,no,,yes,Subham,falls-arms,Arms out at the falls,"A man standing with his arms spread on a rock ledge facing a low waterfall running into a pool, another person on the rocks above",,18 Dec 2025,jungle,,,no,7.5%,"jharana,waterfall",Carries a subham / vivo V50 ZEISS camera stamp. Cropped off. Ask Subham for a clean export.
gallery/IMG-20260301-WA0025.jpg,no,,yes,,spring-bucket,Filling at the spring under the bamboo,"Two men at a stone-lined spring roofed with split bamboo on a leaf-covered slope, one crouching to fill a black bucket, the other close to the camera",,Mar 2026,jungle,,,no,2%,"jharana,spring,water",Photographer not stamped on the file - needs a name.
gallery/IMG-20260613-WA0070.jpg,no,,yes,,mandasaru-sign,At the Mandasaru sign,"Two men standing in front of a large I love MANDASARU sign, a painted wall of flowers below it and a forested gorge behind",Mandasaru,Jun 2026,rest,,,no,,"mandasaru,hills",Photographer not stamped on the file - needs a name.
gallery/IMG-20260614-WA0019.jpg,no,,yes,,viewpoint-parapet,Looking down the gorge,"A man leaning on a green parapet wall at a viewpoint, forested ridges falling away below a clouded sky",,Jun 2026,rest,,,no,,"hills,viewpoint",Place not confirmed. Do not publish until Chandan names where this was taken. Photographer not stamped on the file - needs a name.
gallery/IMG_20250315_113510.jpg,no,,yes,,holi-road,"Holi, on the road out of the village","A dozen young men covered in blue and red colour standing around motorcycles on a dirt road under thin trees, one holding the camera at arm's length",,Mar 2025,festival,,,no,,"holi,festival,colour","Children are in this frame. Rule 2 needs the school and the family, not only the men."
gallery/IMG_20250513_124936.jpg,no,,yes,Debendra,temple-front,In front of the painted temple,A man standing barefoot on packed earth in front of a small brightly painted temple with snake-carved pillars and a white Nandi,,May 2025,rest,,,no,3.5%,"temple,shrine",
gallery/IMG_20250515_052319.jpg,no,,yes,Debendra,asleep-floor,Asleep on the floor against the green wall,"A young man asleep on his side on a concrete floor with his head on a green pillow, a green painted wall behind him",,May 2025,rest,,,no,6%,"sleep,house",A private moment. Do not publish on a general yes - ask this person specifically.
gallery/IMG_20250524_182415.jpg,yes,,no,Debendra,bike-dusk,The bike left on the ridge track at dusk,"A motorcycle standing alone on a red earth track along a ridge, a grey plastered house with a metal roof behind it, hills and a yellow evening sky",,May 2025,village,tall,,no,6%,"dusk,red earth,motorcycle",
gallery/IMG_20250524_182417.jpg,no,,no,Debendra,bike-dusk-2,"Same ridge, a minute later","The same motorcycle on the red earth ridge track, the sky gone deeper orange, the house and the hills behind",,May 2025,village,,,no,6%,"dusk,red earth,motorcycle",Near-duplicate of the frame a minute earlier; not published.
